transaction_id,price,date_of_transfer,postcode,property_type,new_build,tenure,address,locality,town_city,district,county,ppd_category_type,record_status
{288DCE29-180D-E510-E050-A8C06205480E},200000,2015-10-23 00:00,M41 8WY,S,N,L,90,,BENT LANES,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{E59978A5-3E0A-4627-A5F7-4CB267597834},175000,2015-06-12 00:00,M41 6PY,S,N,F,4,,ROSLYN AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1C42-E510-E050-A8C06205480E},366000,2015-12-18 00:00,M41 5BU,D,N,F,1,,SPENNITHORNE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1835-E510-E050-A8C06205480E},166000,2015-12-18 00:00,M41 9AE,T,N,F,20,,GLOUCESTER ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1C6A-E510-E050-A8C06205480E},318500,2015-11-12 00:00,M41 9HG,D,N,F,80,,CUMBERLAND ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{651C2427-1360-492C-A37B-AA11B4BDB6E0},175000,2015-03-13 00:00,M41 9BB,T,N,F,21,,CHAPEL GROVE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{72F9AE8E-98F3-4A05-822C-5054448DA409},183950,2015-05-01 00:00,M41 7BT,T,N,F,4,,KNOWSLEY AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-185F-E510-E050-A8C06205480E},255000,2015-11-25 00:00,M41 0RJ,S,N,L,44,,TEWKESBURY AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1A6A-E510-E050-A8C06205480E},212000,2015-12-09 00:00,M41 9NW,S,N,F,23,,NEWCROFT CRESCENT,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1C90-E510-E050-A8C06205480E},225000,2015-11-27 00:00,M41 0RY,S,N,F,3,,BEVERLEY AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1C99-E510-E050-A8C06205480E},220000,2015-11-17 00:00,M41 6PH,S,N,F,30,,AMBLESIDE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
